Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,numar de judecatori ocupati,Buget (mii lei),Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),"Mediana sirului de valori privind operativitatea (valorile operativitatii mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Incarcatura pe schema,Incarcatura pe judecator,Indice de incarcatura (procent schema/judecator),"ponderare de populatie (procentaj de numar de judecatori ocupati la populatia deservita de acea instanta vs. numar de judecatori nationali la populatia nationala, la fiecare instanta in clasa ei)","Mediana sirului de valori privind indicele de incarcatura(valorile incarcaturii mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]","Mediana sirului de valori privind indicele de ""siguranta"" (valorile sigurantei mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)","Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)",durata in luni,"Ponderare dupa durata (procentul de durata de la aceasta instanta fata de durata mediana din clasa ei la nivel national--adica judecatorie, tribunal, curte de apel, curte suprema=4 clase)","Mediana duratei (valorile duratei mai mari decat mediana nationala + 5% se vor colora rosu, valorile mai mici decat mediana -5% se vor colora verde, iar valorile dintre mediana +/-5% se vor colora galben)","Indicele de performanta al instantei este [(Operativitate ponderata cu durata) impartit la (Indice de incarcatura ponderata cu populatia)] inmultit cu Indicatorul de ""siguranta"" )","Mediana sirului de valori privind indicele de performanta (valorile performantei mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Sa nu uitam in viitor de ponderarea in functie de nr de firme
Curtea de Apel BUCUREŞTI (exercitiu 2012),CurteadeApelBUCURESTI,,,253.845,60973,40078,66%,,810,906,89%,,,14.83%,2.57%,99.62%,,175,5.8333333333,,,73.24%,,
Curtea de Apel Alba,CurteadeApelALBAIULIA,,,,27319,18296,67%,,1931,2030,95%,,,,,100.00%,,,,,,70.41%,,
Curtea de Apel BACĂU,CurteadeApelBACAU,,,,10801,6820,63%,,983,1051,94%,,,,,100.00%,,,,,,67.51%,,
Curtea de Apel BRAŞOV,CurteadeApelBRASOV,,,,15637,10287,66%,,1355,1397,97%,,,,,100.00%,,,,,,67.83%,,
Curtea de Apel CLUJ,CurteadeApelCLUJ,,,,28562,20441,72%,,1576,1576,100%,,,,,100.00%,,,,,,71.57%,,
Curtea de Apel CONSTANŢA,CurteadeApelCONSTANTA,,,,13026,9582,74%,,1104,1175,94%,,,,,100.00%,,,,,,78.29%,,
Curtea de Apel CRAIOVA,CurteadeApelCRAIOVA,,,,41035,32963,80%,,1326,1372,97%,,,,,100.00%,,,,,,83.12%,,
Curtea de Apel GALAŢI,CurteadeApelGALATI,,,,20831,15053,72%,,1476,1553,95%,,,,,100.00%,,,,,,76.03%,,
Curtea de Apel IAŞI,CurteadeApelIASI,,,,12151,9943,82%,,867,967,90%,,,,,100.00%,,,,,,91.27%,,
Curtea de Apel ORADEA,CurteadeApelORADEA,,,,19239,13185,69%,,1793,1853,97%,,,,,100.00%,,,,,,70.83%,,
Curtea de Apel PITEŞTI,CurteadeApelPITESTI,,,,11196,8055,72%,,894,1009,89%,,,,,100.00%,,,,,,81.20%,,
Curtea de Apel PLOIEŞTI,CurteadeApelPLOIESTI,,,,17639,12390,70%,,968,1095,88%,,,,,100.00%,,,,,,79.46%,,
Curtea de Apel SUCEAVA,CurteadeApelSUCEAVA,,,,20047,12337,62%,,1527,1527,100%,,,,,,,,,,,0.00%,,
Curtea de Apel TÂRGU MUREŞ,CurteadeApelTARGUMURES,,,,12806,8087,63%,,1530,1670,92%,,,,,,,,,,,0.00%,,
