Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Buget (mii lei),Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),"Mediana sirului de valori privind operativitatea (valorile operativitatii mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Incarcatura pe schema,Incarcatura pe judecator,Incarcare (procent schema/judecator),"ponderare de populatie (procentaj de numar de judecatori ocupati la populatia deservita de acea instanta vs. numar de judecatori nationali la populatia nationala, la fiecare instanta in clasa ei)","Mediana sirului de valori privind indicele de încărcare(valorile incarcaturii mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]","Mediana sirului de valori privind indicele de ""siguranta"" (valorile sigurantei mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)","Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)",Durata (in luni),"Ponderare dupa durata (procentul de durata de la aceasta instanta fata de durata mediana din clasa ei la nivel national--adica judecatorie, tribunal, curte de apel, curte suprema=4 clase)","Mediana duratei (valorile duratei mai mari decat mediana nationala + 5% se vor colora rosu, valorile mai mici decat mediana -5% se vor colora verde, iar valorile dintre mediana +/-5% se vor colora galben)","Indicele de performanta al instantei este [(Operativitate ponderata cu durata) impartit la (Indice de incarcatura ponderata cu populatia)] inmultit cu Indicatorul de ""siguranta"" )","Mediana sirului de valori privind indicele de performanta (valorile performantei mai mari decat mediana + 5% se vor colora verde, valorile mai mici decat mediana -5% se vor colora rosu, iar valorile dintre mediana +/-5% se vor colora galben)",Sa nu uitam in viitor de ponderarea in functie de nr de firme
Curtea de Apel BUCUREŞTI (exercitiu 2012),CurteadeApelBUCURESTI,,201,,65952,39723,60%,0.7716820569,883.77,987.75,89%,,0.9090860302,44%,11%,95.16%,0.9896,,,,,64.06%,,
Curtea de Apel Alba,CurteadeApelALBAIULIA,,43,,27974,21381,76%,,1787.02,1914.67,93%,,,44%,11%,95.16%,,,,,,77.93%,,
Curtea de Apel BACĂU,CurteadeApelBACAU,,32,,12610,9592,76%,,1112.19,1227.24,91%,,,44%,11%,95.16%,,,,,,79.87%,,
Curtea de Apel BRAŞOV,CurteadeApelBRASOV,,41,,13132,10574,81%,,1006.76,1064.29,95%,,,44%,11%,95.16%,,,,,,81.00%,,
Curtea de Apel CLUJ,CurteadeApelCLUJ,,56,,29424,20419,69%,,1515.29,1601.06,95%,,,44%,11%,95.16%,,,,,,69.77%,,
Curtea de Apel CONSTANŢA,CurteadeApelCONSTANTA,,34,,12114,8701,72%,,923.25,1007.18,92%,,,44%,11%,95.16%,,,,,,74.56%,,
Curtea de Apel CRAIOVA,CurteadeApelCRAIOVA,,91,,41486,35892,87%,,1279.87,1322.53,97%,,,44%,11%,95.16%,,,,,,85.07%,,
Curtea de Apel GALAŢI,CurteadeApelGALATI,,41,,20816,13890,67%,,1342.16,1440.37,93%,,,44%,11%,95.16%,,,,,,68.14%,,
Curtea de Apel IAŞI,CurteadeApelIASI,,36,,14676,11215,76%,,1065.31,1154.08,92%,,,44%,11%,95.16%,,,,,,78.78%,,
Curtea de Apel ORADEA,CurteadeApelORADEA,,33,,15198,13155,87%,,1238.51,1354.63,91%,,,44%,11%,95.16%,,,,,,90.09%,,
Curtea de Apel PITEŞTI,CurteadeApelPITESTI,,36,,14796,10113,68%,,1171.44,1360.39,86%,,,44%,11%,95.16%,,,,,,75.53%,,
Curtea de Apel PLOIEŞTI,CurteadeApelPLOIESTI,,53,,23202,18061,78%,,1251.98,1276.06,98%,,,44%,11%,95.16%,,,,,,75.50%,,
Curtea de Apel SUCEAVA,CurteadeApelSUCEAVA,,41,,22152,18773,85%,,1527.64,1604.03,95%,,,44%,11%,95.16%,,,,,,84.68%,,
