Cod judet,Codul SIRUTA,judet,localitatea,rang,judecatorie,tribunal,CA,Populatie
41,174860,Vrancea,Adjud,municipiu,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,18470
41,175260,Vrancea,Boghesti,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,1657
41,175787,Vrancea,Corbita,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,1859
41,176445,Vrancea,Homocea,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,7167
41,177236,Vrancea,Paunesti,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,6649
41,178894,Vrancea,Ploscuteni,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,3518
41,177352,Vrancea,Pufesti,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,4276
41,177557,Vrancea,Ruginesti,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,4267
41,177879,Vrancea,Tanasoaia,comuna,JudecatoriaADJUD,TribunalulVRANCEA,CurteadeApelGALATI,2164
34,143682,Sibiu,Agnita,oras,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,10913
34,143888,Sibiu,Altina,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,1694
34,144232,Sibiu,Barghis,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,2182
34,144376,Sibiu,Bradeni,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,1411
34,144410,Sibiu,Bruiu,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,728
34,144456,Sibiu,Chirpar,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,1587
34,144651,Sibiu,Iacobeni,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,2741
34,144893,Sibiu,Marpod,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,899
34,144964,Sibiu,Merghindeal,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,1274
34,145042,Sibiu,Mihaileni,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,1046
34,145140,Sibiu,Nocrich,comuna,JudecatoriaAGNITA,TribunalulSIBIU,CurteadeApelALBAIULIA,3053
1,1213,Alba,Aiud,municipiu,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,25660
1,4302,Alba,Farau,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1527
1,4703,Alba,Hoparta,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1202
1,5167,Alba,Livezile,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1302
1,5210,Alba,Lopadea Noua,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,2779
1,5309,Alba,Lunca Muresului,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,2464
1,5755,Alba,Miraslau,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,2139
1,6048,Alba,Noslac,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1748
1,1794,Alba,Ocna Mures,oras,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,14818
1,6397,Alba,Ponor,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,513
1,6547,Alba,Radesti,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1312
1,6627,Alba,Ramet,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,535
1,6592,Alba,Rimetea,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,1075
1,7767,Alba,Stremt,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,2551
1,8096,Alba,Teius,oras,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,7374
1,8158,Alba,Unirea,comuna,JudecatoriaAIUD,TribunalulALBA,CurteadeApelALBAIULIA,5159
1,1017,Alba,Alba Iulia,municipiu,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,68843
1,2309,Alba,Almasu Mare,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,1368
1,2988,Alba,Berghin,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2084
1,3397,Alba,Blandiana,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,1030
1,3841,Alba,Ceru-Bacainti,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,284
1,1071,Alba,Ciugud,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2873
1,4142,Alba,Cricau,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2179
1,1696,Alba,Cugir,oras,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,25450
1,4366,Alba,Galda de Jos,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,4410
1,4927,Alba,Ighiu,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,6629
1,4981,Alba,Intregalde,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,642
1,5577,Alba,Metes,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2930
1,5700,Alba,Mihalt,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,3387
1,7044,Alba,Salistea,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2276
1,7384,Alba,Santimbru,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,3047
1,7810,Alba,Sibot,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,2481
1,8826,Alba,Vintu de Jos,comuna,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,5445
1,1936,Alba,Zlatna,oras,JudecatoriaALBAIULIA,TribunalulALBA,CurteadeApelALBAIULIA,8067
5,26699,Bihor,Alesd,oras,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,10655
5,26742,Bihor,Astileu,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3739
5,27212,Bihor,Auseu,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3018
5,27560,Bihor,Borod,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3896
5,27686,Bihor,Bratca,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,5064
5,27757,Bihor,Brusturi,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3768
5,27935,Bihor,Bulz,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,2093
5,29902,Bihor,Lugasu de Jos,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3438
5,30069,Bihor,Magesti,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,2752
5,31379,Bihor,Sinteu,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,1143
5,31510,Bihor,Suncuius,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3234
5,31878,Bihor,Tetchea,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,3094
5,31716,Bihor,Tileagd,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,7147
5,31976,Bihor,Vadu Crisului,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,4066
5,32090,Bihor,Varciorog,comuna,JudecatoriaALESD,TribunalulBIHOR,CurteadeApelORADEA,2177
36,151790,Teleorman,Alexandria,municipiu,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,48613
36,152038,Teleorman,Babaita,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2713
36,152127,Teleorman,Bogdana,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2502
36,152252,Teleorman,Brinceni,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2888
36,152270,Teleorman,Bujoreni,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,1051
36,152332,Teleorman,Buzescu,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,4398
36,152350,Teleorman,Calinesti,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,3373
36,152902,Teleorman,Draganesti-Vlasca,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,4224
36,155127,Teleorman,Frasinet,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2873
36,152948,Teleorman,Furculesti,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,3452
36,153240,Teleorman,Magura,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2810
36,153204,Teleorman,Mavrodin,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,2463
36,153339,Teleorman,Mirzanesti,comuna,JudecatoriaALEXANDRIA,TribunalulTELEORMAN,CurteadeApelBUCURESTI,3981
